                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.00766,                0.83146,                0.98438,                  1.444,               0.007855,               0.007855,               0.007855
                     67,                0.00937,                0.83521,                0.98479,                 1.4409,               0.007822,               0.007822,               0.007822
                     68,                0.00938,                0.83875,                0.98563,                 1.4385,               0.007789,               0.007789,               0.007789
                     69,                0.00532,                0.83958,                0.98771,                 1.4374,               0.007756,               0.007756,               0.007756
                     70,                0.00421,                0.84125,                0.98729,                 1.4376,               0.007723,               0.007723,               0.007723
                     71,                0.00352,                0.84375,                 0.9875,                 1.4372,                0.00769,                0.00769,                0.00769
                     72,                0.00477,                0.84271,                0.98729,                 1.4372,               0.007657,               0.007657,               0.007657
                     73,                0.00574,                0.84229,                0.98833,                 1.4369,               0.007624,               0.007624,               0.007624
                     74,                0.00606,                0.84125,                0.98771,                 1.4372,               0.007591,               0.007591,               0.007591
                     75,                0.00899,                   0.84,                 0.9875,                 1.4376,               0.007558,               0.007558,               0.007558
                     76,                0.00781,                0.83875,                0.98771,                 1.4381,               0.007525,               0.007525,               0.007525
                     77,                0.00871,                0.84083,                0.98729,                 1.4379,               0.007492,               0.007492,               0.007492
                     78,                0.01048,                 0.8425,                0.98667,                 1.4373,               0.007459,               0.007459,               0.007459
                     79,                0.00539,                0.84333,                0.98583,                 1.4371,               0.007426,               0.007426,               0.007426
                     80,                0.00369,                0.84333,                0.98479,                 1.4371,               0.007393,               0.007393,               0.007393
                     81,                0.00336,                0.84313,                0.98438,                  1.437,                0.00736,                0.00736,                0.00736
                     82,                0.00554,                0.84208,                0.98438,                 1.4371,               0.007327,               0.007327,               0.007327
                     83,                0.00424,                 0.8425,                0.98479,                  1.437,               0.007294,               0.007294,               0.007294
                     84,                0.00566,                0.84292,                0.98583,                 1.4367,               0.007261,               0.007261,               0.007261
                     85,                0.00421,                0.84271,                0.98583,                 1.4366,               0.007228,               0.007228,               0.007228
                     86,                0.00341,                0.84167,                0.98604,                 1.4364,               0.007195,               0.007195,               0.007195
                     87,                0.00659,                0.84271,                0.98563,                 1.4362,               0.007162,               0.007162,               0.007162
                     88,                0.00346,                0.84354,                0.98563,                 1.4361,               0.007129,               0.007129,               0.007129
                     89,                0.00198,                0.84333,                0.98563,                 1.4359,               0.007096,               0.007096,               0.007096
                     90,                0.00145,                  0.845,                  0.985,                 1.4356,               0.007063,               0.007063,               0.007063
                     91,                0.00152,                0.84542,                0.98521,                 1.4355,                0.00703,                0.00703,                0.00703
                     92,                0.00314,                0.84458,                0.98479,                 1.4354,               0.006997,               0.006997,               0.006997
                     93,                0.00202,                0.84625,                  0.985,                 1.4355,               0.006964,               0.006964,               0.006964
                     94,                 0.0022,                0.84583,                0.98542,                 1.4357,               0.006931,               0.006931,               0.006931
                     95,                0.00419,                0.84667,                0.98458,                 1.4356,               0.006898,               0.006898,               0.006898
                     96,                0.00556,                0.84688,                0.98479,                 1.4354,               0.006865,               0.006865,               0.006865
                     97,                0.00426,                0.84688,                0.98479,                 1.4353,               0.006832,               0.006832,               0.006832
                     98,                0.00436,                0.84604,                0.98479,                 1.4351,               0.006799,               0.006799,               0.006799
                     99,                0.00402,                0.84542,                0.98542,                  1.435,               0.006766,               0.006766,               0.006766
                    100,                0.00741,                0.84521,                0.98563,                 1.4348,               0.006733,               0.006733,               0.006733
                    101,                0.01208,                0.84667,                0.98563,                 1.4346,                 0.0067,                 0.0067,                 0.0067
                    102,                0.01058,                0.84563,                0.98542,                 1.4346,               0.006667,               0.006667,               0.006667
                    103,                0.00954,                0.84563,                0.98521,                 1.4345,               0.006634,               0.006634,               0.006634
                    104,                0.00764,                0.84542,                0.98521,                 1.4344,               0.006601,               0.006601,               0.006601
                    105,                0.00451,                0.84604,                0.98542,                 1.4345,               0.006568,               0.006568,               0.006568
                    106,                0.00324,                0.84604,                0.98563,                 1.4345,               0.006535,               0.006535,               0.006535
                    107,                0.00286,                0.84563,                0.98563,                 1.4345,               0.006502,               0.006502,               0.006502
                    108,                0.00325,                0.84479,                0.98542,                 1.4345,               0.006469,               0.006469,               0.006469
                    109,                0.00274,                0.84458,                0.98542,                 1.4345,               0.006436,               0.006436,               0.006436
                    110,                 0.0015,                0.84438,                0.98542,                 1.4345,               0.006403,               0.006403,               0.006403
                    111,                0.00101,                0.84479,                  0.985,                 1.4344,                0.00637,                0.00637,                0.00637
                    112,                0.00097,                0.84438,                  0.985,                 1.4343,               0.006337,               0.006337,               0.006337
                    113,                0.00075,                0.84458,                0.98479,                 1.4343,               0.006304,               0.006304,               0.006304
                    114,                0.00064,                0.84438,                0.98458,                 1.4343,               0.006271,               0.006271,               0.006271
                    115,                0.00074,                0.84458,                0.98438,                 1.4342,               0.006238,               0.006238,               0.006238
                    116,                0.00133,                0.84458,                0.98417,                 1.4343,               0.006205,               0.006205,               0.006205
                    117,                0.00079,                0.84438,                0.98417,                 1.4343,               0.006172,               0.006172,               0.006172
                    118,                0.00124,                0.84438,                0.98417,                 1.4343,               0.006139,               0.006139,               0.006139
                    119,                0.00142,                0.84375,                0.98458,                 1.4344,               0.006106,               0.006106,               0.006106
                    120,                 0.0017,                0.84438,                0.98458,                 1.4344,               0.006073,               0.006073,               0.006073
                    121,                 0.0014,                0.84458,                0.98438,                 1.4343,                0.00604,                0.00604,                0.00604
                    122,                0.00132,                0.84417,                0.98417,                 1.4343,               0.006007,               0.006007,               0.006007
                    123,                0.00092,                0.84417,                0.98417,                 1.4344,               0.005974,               0.005974,               0.005974
                    124,                 0.0011,                0.84438,                0.98396,                 1.4344,               0.005941,               0.005941,               0.005941
                    125,                0.00218,                0.84438,                0.98396,                 1.4345,               0.005908,               0.005908,               0.005908
                    126,                0.00352,                0.84396,                0.98396,                 1.4346,               0.005875,               0.005875,               0.005875
                    127,                0.00365,                0.84333,                0.98375,                 1.4346,               0.005842,               0.005842,               0.005842
                    128,                0.01229,                0.84229,                0.98354,                 1.4347,               0.005809,               0.005809,               0.005809
                    129,                0.01547,                0.84229,                0.98354,                 1.4349,               0.005776,               0.005776,               0.005776
                    130,                0.01043,                 0.8425,                0.98375,                 1.4347,               0.005743,               0.005743,               0.005743
                    131,                0.00767,                0.84271,                0.98375,                 1.4348,                0.00571,                0.00571,                0.00571
                    132,                0.00793,                0.84229,                0.98354,                 1.4349,               0.005677,               0.005677,               0.005677
                    133,                0.00688,                0.84229,                0.98375,                 1.4347,               0.005644,               0.005644,               0.005644
                    134,                0.00489,                0.84208,                0.98354,                 1.4346,               0.005611,               0.005611,               0.005611
                    135,                0.00224,                0.84208,                0.98333,                 1.4347,               0.005578,               0.005578,               0.005578
                    136,                0.00143,                0.84167,                0.98354,                 1.4346,               0.005545,               0.005545,               0.005545
                    137,                0.00117,                0.84229,                0.98396,                 1.4346,               0.005512,               0.005512,               0.005512
                    138,                0.00076,                 0.8425,                0.98438,                 1.4346,               0.005479,               0.005479,               0.005479
                    139,                0.00071,                0.84271,                0.98438,                 1.4346,               0.005446,               0.005446,               0.005446
                    140,                0.00067,                0.84292,                0.98458,                 1.4346,               0.005413,               0.005413,               0.005413
                    141,                0.00059,                0.84333,                0.98438,                 1.4347,                0.00538,                0.00538,                0.00538
                    142,                0.00059,                0.84417,                0.98438,                 1.4348,               0.005347,               0.005347,               0.005347
                    143,                0.00056,                0.84438,                0.98396,                 1.4349,               0.005314,               0.005314,               0.005314
                    144,                0.00062,                0.84396,                0.98375,                  1.435,               0.005281,               0.005281,               0.005281
                    145,                0.00057,                0.84375,                0.98375,                 1.4352,               0.005248,               0.005248,               0.005248
                    146,                0.00054,                0.84354,                0.98375,                 1.4353,               0.005215,               0.005215,               0.005215
                    147,                0.00058,                0.84313,                0.98375,                 1.4354,               0.005182,               0.005182,               0.005182
                    148,                0.00055,                0.84229,                0.98375,                 1.4356,               0.005149,               0.005149,               0.005149
